Cloud_Top_Height,Cloud_Base_Height,Lightning_Count,Optical_Thickness,Vertical_Development,Cloud_Movement,Rainfall,Humidity,Temperature,Pressure,Wind_Direction_Change,Updraft_Winds,cloud_burst,source_type
14102.922471479013,4478.254022286159,181.34504548664012,81.45878813596623,41.0,3.1,113.86,98.45670655406815,2.46,831.9760323050034,76.06449854564227,46.290930350488146,1,actual_based
16280.34992108518,3282.266451527921,135.69118650758267,100.75471782971971,41.0,3.7769320875184045,145.7543533531022,96.2158618074713,5.351109047190709,806.4398290720206,111.88586912581818,66.02271081601889,1,actual_based
14610.191174223894,3540.533728088604,127.33852034361587,79.7129161313127,41.0,3.1,113.86,100.34231946313992,2.46,832.2758500315546,109.68710808750252,53.216807548498075,1,actual_based
14442.462510259598,5226.559822580909,123.3295358045676,68.03728917334777,41.0,3.1,136.02096090520837,98.15591494816158,5.7759767930730135,847.0440259737153,66.60227719231065,62.29034994705718,1,actual_based
15792.328642721362,2259.1562810693163,170.18891004550665,65.79143320182419,41.0,3.1,113.86,100.16324537878008,4.246368384139117,847.358308252719,87.1122208996167,71.0,1,actual_based
17803.925243084486,4496.3567552804825,203.55279798183216,98.99473583360295,41.0,3.1,186.89770395327946,94.38651037045355,2.46,823.1049063742954,101.4030612937039,71.0,1,actual_based
16051.91461517815,2872.5228020210625,146.47294768133378,75.63890851985015,41.0,3.1,113.86,100.62747485201827,2.46,847.5883122656461,84.57260836564492,66.93070144342285,1,actual_based
15590.017374859319,5136.319549732227,149.74262813489096,89.9821653486701,41.0,3.1,174.41533615667603,101.61558640064933,5.974559958796084,829.3888323488708,35.0,71.0,1,actual_based
15818.14801189647,4460.566356133122,86.55487370103873,86.87189148858153,39.85553890214653,3.1,113.86,97.0018172749468,3.8588089796005285,830.3734707523689,69.25281673904277,64.83904954115631,1,actual_based
14724.474360456115,2838.4666173344035,156.39714060052626,87.00205963354954,41.0,3.1,113.86,98.93326229830058,2.46,818.5242838815277,74.49305641495033,69.35388657621976,1,actual_based
15603.90032485868,4923.5587345623335,153.23547476558397,104.0,41.0,3.1,113.86,101.67697726047571,6.715615917634564,802.9839795367558,92.69460398008226,71.0,1,actual_based
15705.331755251293,2481.3233045109764,145.0547439304352,101.9671049962919,41.0,4.305792645338784,157.5709470348101,99.3616446478852,2.46,820.9765655784234,150.61296411186441,71.0,1,actual_based
